:START_ID,:END_ID,:TYPE
G_005,Risk_254,TRIGGER
G_004,Risk_259,TRIGGER
G_003,Risk_260,TRIGGER
G_004,Risk_260,TRIGGER
G_004,Risk_262,TRIGGER
G_005,Risk_263,TRIGGER
G_005,Risk_266,TRIGGER
G_014,Risk_266,TRIGGER
G_014,Risk_267,TRIGGER
G_005,Risk_268,TRIGGER
G_012,Risk_268,TRIGGER
G_004,Risk_268,TRIGGER
G_014,Risk_269,TRIGGER
G_004,Risk_271,TRIGGER
G_005,Risk_273,TRIGGER
G_014,Risk_285,TRIGGER
G_011,Risk_287,TRIGGER
G_014,Risk_294,TRIGGER
G_014,Risk_295,TRIGGER
G_004,Risk_300,TRIGGER
G_004,Risk_303,TRIGGER
G_003,Risk_306,TRIGGER
G_004,Risk_306,TRIGGER
G_004,Risk_307,TRIGGER
G_014,Risk_310,TRIGGER
G_003,Risk_314,TRIGGER
G_004,Risk_314,TRIGGER
G_004,Risk_316,TRIGGER
G_014,Risk_316,TRIGGER
